Population,900,Universe,9,0 Generator A,1 Generator B,2 Buffer A,3 Buffer B,4 Canary A,5 Canary B,6 Generator C,7 Buffer C,8 Canary C
551,0,0,5,-1,5,R,1,2,,,,
552,0,0,5,-1,5,R,1,2,,,,
553,0,0,5,-1,5,R,1,2,,,,
554,0,0,5,-1,5,R,1,2,,,,
555,0,0,5,-1,5,R,1,2,,,,
556,0,0,5,-1,5,R,1,2,,,,
557,0,0,5,-1,5,R,1,2,,,,
558,0,0,5,-1,5,R,1,2,,,,
559,0,0,5,-1,5,R,1,3,,,,
560,0,0,5,-1,5,R,1,3,,,,
561,0,0,5,-1,5,R,1,3,,,,
562,0,0,5,-1,5,R,1,3,,,,
563,0,0,5,-1,5,R,1,3,,,,
564,0,0,5,-1,5,R,1,3,,,,
565,0,0,5,-1,5,R,1,3,,,,
566,0,0,5,-1,5,R,1,3,,,,
567,0,0,5,-1,5,R,1,3,,,,
568,0,0,5,-1,5,R,1,3,,,,
569,0,0,5,-1,5,R,1,3,,,,
570,0,0,5,-1,5,R,1,3,,,,
571,0,0,5,-1,5,R,1,3,,,,
572,0,0,5,-1,5,R,1,3,,,,
573,0,0,5,-1,5,R,1,3,,,,
574,0,0,5,-1,5,R,1,3,,,,
575,0,0,5,-1,5,R,1,3,,,,
576,0,0,5,-1,5,R,1,3,,,,
577,0,0,5,-1,5,R,1,3,,,,
578,0,0,5,-1,5,R,1,3,,,,
579,0,0,5,-1,5,R,1,3,,,,
580,0,0,5,-1,5,R,1,3,,,,
581,0,0,5,-1,5,R,1,3,,,,
582,0,0,5,-1,5,R,1,3,,,,
583,0,0,5,-1,5,R,1,3,,,,
584,0,0,5,-1,5,R,1,3,,,,
585,0,0,5,-1,5,R,1,3,,,,
586,0,0,5,-1,5,R,1,3,,,,
587,0,0,5,-1,5,R,1,3,,,,
588,0,0,5,-1,5,R,1,3,,,,
589,0,0,5,-1,5,R,1,3,,,,
590,0,0,5,-1,5,R,1,3,,,,
591,0,0,5,-1,5,R,1,3,,,,
592,0,0,5,-1,5,R,1,3,,,,
593,0,0,5,-1,5,R,1,3,,,,
594,0,0,5,-1,5,R,1,3,,,,
595,0,0,5,-1,5,R,1,3,,,,
596,0,0,5,-1,5,R,1,3,,,,
597,0,0,5,-1,5,R,1,3,,,,
598,0,0,5,-1,5,R,1,3,,,,
599,0,0,5,-1,5,R,1,3,,,,
600,0,0,6,12,7,R,1,0,,,,
600,1,12,7,18,6,R,1,0,,,,
600,2,18,6,6,6,R,1,0,,,,
601,0,0,6,12,7,R,1,0,,,,
601,1,12,7,18,6,R,1,0,,,,
601,2,18,6,6,6,R,1,0,,,,
602,0,0,6,-1,6,R,1,0,,,,
603,0,0,6,-1,6,R,1,0,,,,
604,0,0,6,-1,6,R,1,0,,,,
605,0,0,6,-1,6,R,1,0,,,,
606,0,0,6,-1,6,R,1,0,,,,
607,0,0,6,-1,6,R,1,0,,,,
608,0,0,6,-1,6,R,1,0,,,,
609,0,0,6,-1,6,R,1,0,,,,
610,0,0,6,-1,6,R,1,0,,,,
611,0,0,6,-1,6,R,1,0,,,,
612,0,0,6,-1,6,R,1,0,,,,
613,0,0,6,-1,6,R,1,0,,,,
614,0,0,6,-1,6,R,1,0,,,,
615,0,0,6,-1,6,R,1,0,,,,
616,0,0,6,-1,6,R,1,0,,,,
617,0,0,6,-1,6,R,1,0,,,,
618,0,0,6,-1,6,R,1,0,,,,
619,0,0,6,-1,6,R,1,0,,,,
620,0,0,6,-1,6,R,1,0,,,,
621,0,0,6,-1,6,R,1,0,,,,
622,0,0,6,-1,6,R,1,0,,,,
623,0,0,6,-1,6,R,1,0,,,,
624,0,0,6,-1,6,R,1,0,,,,
625,0,0,6,-1,6,R,1,0,,,,
626,0,0,6,-1,6,R,1,0,,,,
627,0,0,6,-1,6,R,1,0,,,,
628,0,0,6,-1,6,R,1,0,,,,
629,0,0,6,-1,6,R,1,0,,,,
630,0,0,6,-1,6,R,1,0,,,,
631,0,0,6,-1,6,R,1,0,,,,
632,0,0,6,-1,6,R,1,0,,,,
633,0,0,6,-1,6,R,1,0,,,,
634,0,0,6,-1,6,R,1,0,,,,
635,0,0,6,-1,6,R,1,0,,,,
636,0,0,6,-1,6,R,1,0,,,,
637,0,0,6,-1,6,R,1,0,,,,
638,0,0,6,-1,6,R,1,0,,,,
639,0,0,6,-1,6,R,1,0,,,,
640,0,0,6,-1,6,R,1,1,,,,
641,0,0,6,-1,6,R,1,1,,,,
642,0,0,6,-1,6,R,1,1,,,,
643,0,0,6,-1,6,R,1,1,,,,
644,0,0,6,-1,6,R,1,1,,,,
645,0,0,6,-1,6,R,1,1,,,,
646,0,0,6,-1,6,R,1,1,,,,
647,0,0,6,-1,6,R,1,1,,,,
648,0,0,6,-1,6,R,1,1,,,,
649,0,0,6,-1,6,R,1,1,,,,
650,0,0,6,-1,6,R,1,1,,,,
651,0,0,6,-1,6,R,1,1,,,,
652,0,0,6,-1,6,R,1,1,,,,
653,0,0,6,-1,6,R,1,1,,,,
654,0,0,6,-1,6,R,1,1,,,,
655,0,0,6,-1,6,R,1,1,,,,
656,0,0,6,-1,6,R,1,1,,,,
657,0,0,6,-1,6,R,1,1,,,,
658,0,0,6,-1,6,R,1,1,,,,
659,0,0,6,-1,6,R,1,1,,,,
660,0,0,6,-1,6,R,1,1,,,,
661,0,0,6,-1,6,R,1,1,,,,
662,0,0,6,-1,6,R,1,1,,,,
663,0,0,6,-1,6,R,1,1,,,,
664,0,0,6,-1,6,R,1,1,,,,
665,0,0,6,-1,6,R,1,1,,,,
666,0,0,6,-1,6,R,1,1,,,,
667,0,0,6,-1,6,R,1,1,,,,
668,0,0,6,-1,6,R,1,1,,,,
669,0,0,6,-1,6,R,1,1,,,,
670,0,0,6,-1,6,R,1,1,,,,
671,0,0,6,-1,6,R,1,1,,,,
672,0,0,6,-1,6,R,1,1,,,,
673,0,0,6,-1,6,R,1,1,,,,
674,0,0,6,-1,6,R,1,1,,,,
675,0,0,6,-1,6,R,1,1,,,,
676,0,0,6,-1,6,R,1,1,,,,
677,0,0,6,-1,6,R,1,1,,,,
678,0,0,6,-1,6,R,1,1,,,,
679,0,0,6,-1,6,R,1,1,,,,
680,0,0,6,-1,6,R,1,1,,,,
681,0,0,6,-1,6,R,1,1,,,,
682,0,0,6,-1,6,R,1,1,,,,
683,0,0,6,-1,6,R,1,1,,,,
684,0,0,6,-1,6,R,1,1,,,,
685,0,0,6,-1,6,R,1,1,,,,
686,0,0,6,-1,6,R,1,1,,,,
687,0,0,6,-1,6,R,1,1,,,,
688,0,0,6,-1,6,R,1,1,,,,
689,0,0,6,-1,6,R,1,1,,,,
690,0,0,6,-1,6,R,1,1,,,,
691,0,0,6,-1,6,R,1,1,,,,
692,0,0,6,12,7,R,1,1,,,,
692,1,12,7,18,6,R,1,0,,,,
692,2,18,6,6,6,R,1,0,,,,
693,0,0,6,12,7,R,1,1,,,,
693,1,12,7,18,6,R,1,0,,,,
693,2,18,6,6,6,R,1,0,,,,
694,0,0,6,12,7,R,1,1,,,,
694,1,12,7,18,6,R,1,0,,,,
694,2,18,6,6,6,R,1,0,,,,
695,0,0,6,12,7,R,1,1,,,,
695,1,12,7,18,6,R,1,0,,,,
695,2,18,6,6,6,R,1,0,,,,
696,0,0,6,12,7,R,1,1,,,,
696,1,12,7,18,6,R,1,0,,,,
696,2,18,6,6,6,R,1,0,,,,
697,0,0,6,12,7,R,1,1,,,,
697,1,12,7,18,6,R,1,0,,,,
697,2,18,6,6,6,R,1,0,,,,
698,0,0,6,12,7,R,1,1,,,,
698,1,12,7,18,6,R,1,0,,,,
698,2,18,6,6,6,R,1,0,,,,
699,0,0,6,12,7,R,1,1,,,,
699,1,12,7,18,6,R,1,0,,,,
699,2,18,6,6,6,R,1,0,,,,
700,0,0,7,-1,7,R,1,2,,,,
701,0,0,7,-1,7,R,1,2,,,,
702,0,0,7,-1,7,R,1,2,,,,
703,0,0,7,-1,7,R,1,2,,,,
704,0,0,7,-1,7,R,1,2,,,,
705,0,0,7,-1,7,R,1,2,,,,
706,0,0,7,-1,7,R,1,2,,,,
707,0,0,7,-1,7,R,1,2,,,,
708,0,0,7,-1,7,R,1,2,,,,
709,0,0,7,-1,7,R,1,2,,,,
710,0,0,7,12,8,R,1,2,,,,
710,1,12,8,18,7,R,1,2,,,,
710,2,18,7,0,7,R,1,2,,,,
711,0,0,7,-1,7,R,1,2,,,,
712,0,0,7,-1,7,R,1,2,,,,
713,0,0,7,-1,7,R,1,2,,,,
714,0,0,7,-1,7,R,1,2,,,,
715,0,0,7,12,8,R,1,2,,,,
715,1,12,8,18,7,R,1,2,,,,
715,2,18,7,0,7,R,1,2,,,,
716,0,0,7,-1,7,R,1,2,,,,
717,0,0,7,-1,7,R,1,2,,,,
718,0,0,7,-1,7,R,1,2,,,,
719,0,0,7,-1,7,R,1,2,,,,
720,0,0,7,12,8,R,1,2,,,,
720,1,12,8,18,7,R,1,2,,,,
720,2,18,7,0,7,R,1,2,,,,
721,0,0,7,-1,7,R,1,2,,,,
722,0,0,7,-1,7,R,1,2,,,,
723,0,0,7,-1,7,R,1,2,,,,
724,0,0,7,-1,7,R,1,2,,,,
725,0,0,7,-1,7,R,1,2,,,,
726,0,0,7,-1,7,R,1,2,,,,
727,0,0,7,-1,7,R,1,2,,,,
728,0,0,7,-1,7,R,1,2,,,,
729,0,0,7,-1,7,R,1,2,,,,
730,0,0,7,-1,7,R,1,2,,,,
731,0,0,7,-1,7,R,1,2,,,,
732,0,0,7,-1,7,R,1,2,,,,
733,0,0,7,-1,7,R,1,2,,,,
734,0,0,7,-1,7,R,1,2,,,,
735,0,0,7,-1,7,R,1,2,,,,
736,0,0,7,-1,7,R,1,2,,,,
737,0,0,7,-1,7,R,1,2,,,,
738,0,0,7,-1,7,R,1,2,,,,
739,0,0,7,-1,7,R,1,2,,,,
740,0,0,7,-1,7,R,1,2,,,,
741,0,0,7,-1,7,R,1,2,,,,
742,0,0,7,-1,7,R,1,2,,,,
743,0,0,7,-1,7,R,1,2,,,,
744,0,0,7,-1,7,R,1,2,,,,
745,0,0,7,-1,7,R,1,2,,,,
746,0,0,7,-1,7,R,1,2,,,,
747,0,0,7,-1,7,R,1,2,,,,
748,0,0,7,-1,7,R,1,2,,,,
749,0,0,7,-1,7,R,1,2,,,,
750,0,0,7,-1,7,R,1,2,,,,
751,0,0,7,-1,7,R,1,2,,,,
752,0,0,7,-1,7,R,1,2,,,,
753,0,0,7,-1,7,R,1,2,,,,
754,0,0,7,-1,7,R,1,2,,,,
755,0,0,7,-1,7,R,1,2,,,,
756,0,0,7,-1,7,R,1,2,,,,
757,0,0,7,-1,7,R,1,2,,,,
758,0,0,7,-1,7,R,1,2,,,,
759,0,0,7,-1,7,R,1,2,,,,
760,0,0,7,-1,7,R,1,2,,,,
761,0,0,7,-1,7,R,1,2,,,,
762,0,0,7,-1,7,R,1,2,,,,
763,0,0,7,-1,7,R,1,2,,,,
764,0,0,7,-1,7,R,1,2,,,,
765,0,0,7,-1,7,R,1,2,,,,
766,0,0,7,-1,7,R,1,2,,,,
767,0,0,7,-1,7,R,1,2,,,,
768,0,0,7,-1,7,R,1,2,,,,
769,0,0,7,-1,7,R,1,2,,,,
770,0,0,7,-1,7,R,1,2,,,,
771,0,0,7,-1,7,R,1,2,,,,
772,0,0,7,-1,7,R,1,2,,,,
773,0,0,7,-1,7,R,1,2,,,,
774,0,0,7,-1,7,R,1,2,,,,
775,0,0,7,-1,7,R,1,2,,,,
776,0,0,7,-1,7,R,1,2,,,,
777,0,0,7,-1,7,R,1,2,,,,
778,0,0,7,-1,7,R,1,2,,,,
779,0,0,7,-1,7,R,1,2,,,,
780,0,0,7,-1,7,R,1,2,,,,
781,0,0,7,-1,7,R,1,2,,,,
782,0,0,7,-1,7,R,1,2,,,,
783,0,0,7,-1,7,R,1,2,,,,
784,0,0,7,-1,7,R,1,2,,,,
785,0,0,7,-1,7,R,1,2,,,,
786,0,0,7,-1,7,R,1,2,,,,
787,0,0,7,-1,7,R,1,2,,,,
788,0,0,7,-1,7,R,1,2,,,,
789,0,0,7,-1,7,R,1,2,,,,
790,0,0,7,-1,7,R,1,2,,,,
791,0,0,7,-1,7,R,1,2,,,,
792,0,0,7,-1,7,R,1,2,,,,
793,0,0,7,-1,7,R,1,2,,,,
794,0,0,7,-1,7,R,1,2,,,,
795,0,0,7,-1,7,R,1,2,,,,
796,0,0,7,-1,7,R,1,2,,,,
797,0,0,7,-1,7,R,1,2,,,,
798,0,0,7,-1,7,R,1,2,,,,
799,0,0,7,-1,7,R,1,2,,,,
800,0,0,8,-1,8,R,1,2,1200,,,
801,0,0,8,-1,8,R,1,2,1201,,,
802,0,0,8,-1,8,R,1,2,1202,,,
803,0,0,8,-1,8,R,1,2,1203,,,
804,0,0,8,-1,8,R,1,2,1204,,,
805,0,0,8,-1,8,R,1,2,1205,,,
806,0,0,8,-1,8,R,1,2,1206,,,
807,0,0,8,-1,8,R,1,2,1207,,,
808,0,0,8,-1,8,R,1,2,1208,,,
809,0,0,8,-1,8,R,1,2,1209,,,
810,0,0,8,-1,8,R,1,2,1210,,,
811,0,0,8,-1,8,R,1,2,1211,,,
812,0,0,8,-1,8,R,1,2,1212,,,
813,0,0,8,-1,8,R,1,2,1213,,,
814,0,0,8,-1,8,R,1,2,1214,,,
815,0,0,8,-1,8,R,1,2,1215,,,
816,0,0,8,-1,8,R,1,2,1216,,,
817,0,0,8,-1,8,R,1,2,1217,,,
818,0,0,8,-1,8,R,1,2,1218,,,
819,0,0,8,-1,8,R,1,2,1219,,,
820,0,0,8,-1,8,R,1,2,1220,,,
821,0,0,8,-1,8,R,1,2,1221,,,
822,0,0,8,-1,8,R,1,2,1222,,,
823,0,0,8,-1,8,R,1,2,1223,,,
824,0,0,8,-1,8,R,1,2,1224,,,
825,0,0,8,-1,8,R,1,2,1225,,,
826,0,0,8,-1,8,R,1,2,1226,,,
827,0,0,8,-1,8,R,1,2,1227,,,
828,0,0,8,-1,8,R,1,2,1228,,,
829,0,0,8,-1,8,R,1,2,1229,,,
830,0,0,8,-1,8,R,1,2,1230,,,
831,0,0,8,-1,8,R,1,2,1231,,,
832,0,0,8,-1,8,R,1,2,1232,,,
833,0,0,8,-1,8,R,1,2,1233,,,
834,0,0,8,-1,8,R,1,2,1234,,,
835,0,0,8,-1,8,R,1,2,1235,,,
836,0,0,8,-1,8,R,1,2,1236,,,
837,0,0,8,-1,8,R,1,2,1237,,,
838,0,0,8,-1,8,R,1,2,1238,,,
839,0,0,8,-1,8,R,1,2,1239,,,
840,0,0,8,-1,8,R,1,2,1240,,,
841,0,0,8,-1,8,R,1,2,1241,,,
842,0,0,8,-1,8,R,1,2,1242,,,
843,0,0,8,-1,8,R,1,2,1243,,,
844,0,0,8,-1,8,R,1,2,1244,,,
845,0,0,8,-1,8,R,1,2,1245,,,
846,0,0,8,-1,8,R,1,2,1246,,,
847,0,0,8,-1,8,R,1,2,1247,,,
848,0,0,8,-1,8,R,1,2,1248,,,
849,0,0,8,-1,8,R,1,2,1249,,,
850,0,0,8,-1,8,R,1,2,1250,,,
851,0,0,8,-1,8,R,1,2,1251,,,
852,0,0,8,-1,8,R,1,2,1252,,,
853,0,0,8,-1,8,R,1,2,1253,,,
854,0,0,8,-1,8,R,1,2,1254,,,
855,0,0,8,-1,8,R,1,2,1255,,,
856,0,0,8,-1,8,R,1,2,1256,,,
857,0,0,8,-1,8,R,1,2,1257,,,
858,0,0,8,-1,8,R,1,2,1258,,,
859,0,0,8,-1,8,R,1,2,1259,,,
860,0,0,8,-1,8,R,1,2,1260,,,
861,0,0,8,-1,8,R,1,2,1261,,,
862,0,0,8,-1,8,R,1,2,1262,,,
863,0,0,8,-1,8,R,1,2,1263,,,
864,0,0,8,-1,8,R,1,2,1264,,,
865,0,0,8,-1,8,R,1,2,1265,,,
866,0,0,8,-1,8,R,1,2,1266,,,
867,0,0,8,-1,8,R,1,2,1267,,,
868,0,0,8,-1,8,R,1,2,1268,,,
869,0,0,8,-1,8,R,1,2,1269,,,
870,0,0,8,-1,8,R,1,2,1270,,,
871,0,0,8,-1,8,R,1,2,1271,,,
872,0,0,8,-1,8,R,1,2,1272,,,
873,0,0,8,-1,8,R,1,2,1273,,,
874,0,0,8,-1,8,R,1,2,1274,,,
875,0,0,8,-1,8,R,1,2,1275,,,
876,0,0,8,-1,8,R,1,2,1276,,,
877,0,0,8,-1,8,R,1,2,1277,,,
878,0,0,8,-1,8,R,1,2,1278,,,
879,0,0,8,-1,8,R,1,2,1279,,,
880,0,0,8,-1,8,R,1,2,1280,,,
881,0,0,8,-1,8,R,1,2,1281,,,
882,0,0,8,-1,8,R,1,2,1282,,,
883,0,0,8,-1,8,R,1,2,1283,,,
884,0,0,8,-1,8,R,1,2,1284,,,
885,0,0,8,-1,8,R,1,2,1285,,,
886,0,0,8,-1,8,R,1,2,1286,,,
887,0,0,8,-1,8,R,1,2,1287,,,
888,0,0,8,-1,8,R,1,2,1288,,,
889,0,0,8,-1,8,R,1,2,1289,,,
890,0,0,8,-1,8,R,1,2,1290,,,
891,0,0,8,-1,8,R,1,2,1291,,,
892,0,0,8,-1,8,R,1,2,1292,,,
893,0,0,8,-1,8,R,1,2,1293,,,
894,0,0,8,-1,8,R,1,2,1294,,,
895,0,0,8,-1,8,R,1,2,1295,,,
896,0,0,8,-1,8,R,1,2,1296,,,
897,0,0,8,-1,8,R,1,2,1297,,,
898,0,0,8,-1,8,R,1,2,1298,,,
899,0,0,8,-1,8,R,1,2,1299,,,
